,Home->Tools->Power tools->Power tool accessories->Saw blades & accessories,Power tools,Atlas Uni Turbo 300mm,For the cutting of building materials,https://www.homebase.co.uk/atlas-uni-turbo-300mm_p488728,48.49,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1f88686f-8d98-422d-9598-a750109577ba.jpg,Unnamed: 7,488728
0,Home->Paint & Decorating->Paint->Exterior paint->Exterior gloss & satin->Eggshell->750ml,Paint,Farrow & Ball Eco No.8 String - Exterior Eggshell Paint - 750ml,Farrow & Ball Eco Exterior Eggshell Paint is a durable and flexible reduced solvent paint.,https://www.homebase.co.uk/farrow-ball-eco-no-8-string-exterior-eggshell-paint-750ml_p087833,28.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/3445b692-9ac6-40e1-873d-5bec3cf9352a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/44e166cf-c86b-4480-894e-de44d66ec3f7.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a706afe3-3d45-4ce0-9ac3-6048ca2dd263.jpg",,87833
1,Home->Kitchens->Kitchen worktops->Solid surface worktops->Maia->Brazilian griege->Sink modules->28mm,Kitchen worktops,Maia Snow Haze Kitchen Sink Worktop - Acrylic 1.5 Designer Left Hand Bowl - 360 x 65 x 2.8cm,"Maia's Snow Haze worktop looks fantastic with white, cream and oak cabinets. The off white finish features a venied effect with white and very subtle gold hues. The acrylic 1.5 designer bowl is available in left and right hand configurations and features a one piece sink unit that is mounted under your kitchen worktop.",https://www.homebase.co.uk/maia-snow-haze-kitchen-sink-worktop-acrylic-1-5-designer-left-hand-bowl-360-x-65-x-2-8cm_p463263,1845.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b0788458-ee5e-4680-8cf0-f936b158429b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8058b88e-9b0c-4e69-8eb6-4a3a03345eb5.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9e33507d-68ac-4f0b-88e2-7d365bcb583b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/3d3252f3-19c7-4fc9-a040-64ea6fd7b311.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a2914dc9-209a-4c8e-84ed-39ca20e0ae99.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f526012e-8230-4a6e-b745-1ca61f389313.jpg",,463263
2,Home->Building & Hardware->Doors & door furniture->Interior doors->Feature,Doors & door furniture,Inlay Internal Prefinished Oak 1 Panel Door - 762 x 1981mm,,https://www.homebase.co.uk/inlay-internal-prefinished-oak-1-panel-door-762-x-1981mm_p497366,239.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/98351d25-5d00-497b-8cc8-1005c7f6b43c.jpg,,497366
3,Home->Building & Hardware->Doors & door furniture->Interior doors->Glazed,Doors & door furniture,Vancouver Internal Glazed Prefinished Light Grey 4 Lite Fire Door - 686 x 1981mm,"A modern internal glazed door with sleek, contemporary look, Vancouver comes in light grey to complement fashionable of interiors. With four large clear glazed panels, the look is kept light and airy, so you can fit this door to your living space and create an open and spacious feeling. This door makes the perfect choice for a dining room or study.",https://www.homebase.co.uk/vancouver-internal-glazed-prefinished-light-grey-4-lite-fire-door-686-x-1981mm_p497623,790.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/751a2579-1eaa-4090-b220-c2f1bfbeb600.jpg,,497623
4,Home->Garden & Outdoor->Garden buildings->Sheds->Shed bases,Garden buildings,Watershed Roofing Kit for 6 x 8ft Apex Shed,An easy-to-install complete roofing kit for garden buildings.,https://www.homebase.co.uk/watershed-roofing-kit-for-6-x-8ft-apex-shed_p483030,180.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/17557206-69d0-4f29-b54c-d45dfe2dc21f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ab167f4f-a425-4644-b9d6-1190bc1872cb.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ed828149-8f4e-4ed3-8967-f19681e1d593.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/62ea348c-eba1-413d-877f-d13aa40d4c97.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/77cc4384-d4bd-4990-a6ea-df12e3c43832.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1ae1bc56-b57e-4471-adf4-04929fc38fba.jpg",,483030
5,Home->Bathrooms & Plumbing->Bathroom furniture suites->Rio range->Natural oak->Freestanding,Bathroom furniture suites,Balterley Rio 600mm Freestanding 2 Drawer Vanity With Worktop - Natural Oak,Vanity unit supplied with high quality matching worktop for use with any of our vessel basins.,https://www.homebase.co.uk/balterley-rio-600mm-freestanding-2-drawer-vanity-with-worktop-natural-oak_p502445,250.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/3b1d8d04-49a8-4a14-961d-e7ada7fe4a21.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/94eaeaae-8e83-42b8-8d43-15c60263635b.jpg",,502445
6,Home->Building & Hardware->Doors & door furniture->Door numbers & signs->House numbers,Doors & door furniture,Ultra Black Numeral - 150mm - 7,"The Sandleford Ultra Acrylic Range of Numerals & Letters offers a modern solution for attaching to any wall, fence or directly onto the mailbox. The concealed fixing method eliminates unsightly screws and provides a beautiful clean look. Installation instructions & fixings included.",https://www.homebase.co.uk/ultra-black-numeral-150mm-7_p393324,10.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/957af3a7-4723-4209-a691-30c5ae44d26e.jpg,,393324
7,Home->Building & Hardware->Doors & door furniture->Interior doors->Feature,Doors & door furniture,Vancouver Internal Prefinished Chocolate Grey 5 Panel Door - 838 x 1981mm,"In modern chocolate grey the Vancouver is an internal door that will look great in homes of many styles. With a ladder-style design, its simple lines and clean finish makes it suitable for timeless or contemporary interiors. It's also a very versatile door design, so you can choose it for any room in the house, from bedroom and bathroom to living room and study, for an effortless update.",https://www.homebase.co.uk/vancouver-internal-prefinished-chocolate-grey-5-panel-door-838-x-1981mm_p497374,249.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/88b77ee7-256b-43aa-8dbd-29dc0b0ab341.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/416cad24-f641-4a5f-80a1-07dd8c2ee59c.jpg",,497374
8,Home->Tools->Power tools->Power tool accessories->Saw blades & accessories,Power tools,Freud 184x16 Circular Wood Saw Blade 40T,"CSB LP40M for Solid Soft/Hard Wood Portable Machines 184x16x2.4x40T. The Freud Pro Cross Cutting Saw Blade is a thinner, harder saw blade for a faster and cleaner cut. With laser cut expansion slots to prevent blade warp and precision tensioning for superior blade flatness. Super micrograin carbide tips with titanium for maximum sharpness, strength and durability. Teflon coated to reduce heat, corrosion and resin build-up. Also reduces kickback from feeding the saw too quickly.",https://www.homebase.co.uk/freud-184x16-circular-wood-saw-blade-40t_p422792,29.99,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/d6a4313f-ca0b-492a-9697-61f2d126c169.jpg,,422792
9,Home->Garden & Outdoor->Garden buildings->Sheds->Wooden sheds->6 x 4ft sheds,Garden buildings,Forest Garden (Installation Included) 6 x 4ft Wooden Overlap Pressure Treated Apex Shed with Lean To,"This Pressure Treated Overlap 6 x 4 Apex Shed with Lean To from Forest features an integral lean-to storage space, perfect for storing logs to keep them dry and out of the way without taking up room in your shed. The black felted roof, smooth-planed barge board and finial give this shed an attractive finish.",https://www.homebase.co.uk/forest-garden-installation-included-6-x-4ft-wooden-overlap-pressure-treated-apex-shed-with-lean-to_p389205,419.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f48bf316-653d-454e-8178-906bd0c6d980.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/483589ec-21a2-479d-a1cb-281c62d6291e.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/366cdcb7-00ce-4ed3-966f-9834dd2b6c2f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/dfcbe5c6-a766-413b-9e46-ad67a420952f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/82af3ccf-fed1-4202-8bb2-2635446c0afe.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/d3e25dbb-1ac3-4a30-973f-79c29823f5e6.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/27851b4f-8795-46d0-bcd4-c1bdb324cfad.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/89d0c204-5ef5-46ec-a5c4-9007db61ac2a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8a4f6d14-4656-454c-9463-ee4f71a49232.jpg",,389205
